Date,Real,Predicitions,Difference
1986-01-01,22.93,18.83022749944939,-4.0997725005506105
1986-02-01,15.46,13.25981819094028,-2.200181809059721
1986-03-01,12.61,12.17533968593093,-0.4346603140690686
1986-04-01,12.84,12.464790873667958,-0.3752091263320416
1986-05-01,15.38,14.300176061052504,-1.0798239389474968
1986-06-01,13.43,12.779761627693947,-0.6502383723060525
1986-07-01,11.59,11.150314499915936,-0.4396855000840638
1986-08-01,15.1,15.899691752515194,0.7996917525151943
1986-09-01,14.87,14.770304239757,-0.09969576024299975
1986-10-01,14.9,15.269877026939177,0.3698770269391769
1986-11-01,15.22,14.999917526193274,-0.22008247380672685
1986-12-01,16.11,17.939965488686113,1.8299654886861134
1987-01-01,18.65,18.749803729462403,0.09980372946240479
1987-02-01,17.75,16.600076969341398,-1.1499230306586021
1987-03-01,18.3,18.8298627373284,0.5298627373284006
1987-04-01,18.68,18.729856872548556,0.0498568725485562
1987-05-01,19.44,19.409313006476705,-0.030686993523296735
1987-06-01,20.07,19.823996198013614,-0.2460038019863866
1987-07-01,21.34,21.79160720360014,0.4516072036001404
1987-08-01,20.31,19.729881643248685,-0.5801183567513135
1987-09-01,19.53,19.590128814897223,0.06012881489722233
1987-10-01,19.86,19.9604161401081,0.10041614010810207
1987-11-01,18.85,18.50975959062058,-0.34024040937942246
1987-12-01,17.28,18.129477703081758,0.8494777030817566
1988-01-01,17.13,16.940534789774865,-0.18946521022513352
1988-02-01,16.8,16.009747430659544,-0.7902525693404563
1988-03-01,16.2,17.07991324353684,0.8799132435368406
1988-04-01,17.86,18.20411422677798,0.34411422677797887
1988-05-01,17.42,17.509873243157077,0.08987324315707568
1988-06-01,16.53,15.159863601370798,-1.370136398629203
1988-07-01,15.5,16.3099714116807,0.8099714116806993
1988-08-01,15.52,15.180428308475195,-0.3395716915248048
1988-09-01,14.54,13.369784919094482,-1.1702150809055176
1988-10-01,13.77,14.2124596061215,0.4424596061215009
1988-11-01,14.14,13.225316634722915,-0.9146833652770852
1988-12-01,16.38,17.240019643010857,0.8600196430108582
1989-01-01,18.02,17.03006889278255,-0.9899311072174513
1989-02-01,17.94,17.793056805438006,-0.14694319456199523
1989-03-01,19.48,19.928099849938384,0.4480998499383837
1989-04-01,21.07,20.7942907445383,-0.2757092554616989
1989-05-01,20.12,19.903751284823976,-0.21624871517602529
1989-06-01,20.05,20.269698582975984,0.21969858297598321
1989-07-01,19.78,20.22858101690016,0.4485810169001603
1989-08-01,18.58,18.830072823701585,0.25007282370158634
1989-09-01,19.59,20.13006370396521,0.5400637039652096
1989-10-01,20.1,19.939832699445073,-0.160167300554928
1989-11-01,19.86,19.44921677923494,-0.41078322076505813
1989-12-01,21.1,21.819989005648985,0.7199890056489835
1990-01-01,22.86,22.67981528882168,-0.18018471117832036
1990-02-01,22.11,21.540290605595295,-0.569709394404704
1990-03-01,20.39,20.28024447246679,-0.10975552753320983
1990-04-01,18.43,18.539983704575388,0.10998370457538797
1990-05-01,18.2,18.458769663004993,0.25876966300499404
1990-06-01,16.7,17.070445982099635,0.37044598209963553
1990-07-01,18.45,20.689820016304623,2.2398200163046234
1990-08-01,27.31,27.320335405707592,0.010335405707593281
1990-09-01,33.51,39.50946941290239,5.999469412902393
1990-10-01,36.04,35.230335990621676,-0.8096640093783236
1990-11-01,32.33,28.850030843061987,-3.4799691569380116
1990-12-01,27.28,28.43972635341696,1.1597263534169606
1991-01-01,25.23,21.5400128479688,-3.6899871520312004
1991-02-01,20.48,19.160083602308493,-1.3199163976915074
1991-03-01,19.9,21.162654179057593,1.262654179057595
1991-04-01,20.83,20.959910602547595,0.12991060254759645
1991-05-01,21.23,21.6019197210211,0.3719197210211007
1991-06-01,20.19,20.320449300853888,0.13044930085388629
1991-07-01,21.4,21.679536825533138,0.27953682553313897
1991-08-01,21.69,22.26026003256,0.5702600325600002
1991-09-01,21.89,21.856274123826555,-0.03372587617344536
1991-10-01,23.23,23.369630625954752,0.1396306259547515
1991-11-01,22.46,20.445136647304018,-2.0148633526959827
1991-12-01,19.5,19.120327864304972,-0.3796721356950279
1992-01-01,18.79,18.899842500020945,0.10984250002094598
1992-02-01,19.01,18.680197353458894,-0.3298026465411077
1992-03-01,18.92,19.04861289857593,0.12861289857592695
1992-04-01,20.23,20.849912281753937,0.6199122817539369
1992-05-01,20.98,22.109705070310316,1.1297050703103153
1992-06-01,22.39,21.600294157837034,-0.7897058421629666
1992-07-01,21.78,22.501280842118597,0.7212808421185954
1992-08-01,21.34,20.218286571052666,-1.1217134289473343
1992-09-01,21.88,21.709883488973443,-0.17011651102655634
1992-10-01,21.69,20.620486519914113,-1.069513480085888
1992-11-01,20.34,19.889702677148666,-0.45029732285133406
1992-12-01,19.41,20.369970296514104,0.9599702965141041
1993-01-01,19.03,20.26006942059129,1.2300694205912883
1993-02-01,20.09,20.599597946510638,0.5095979465106382
1993-03-01,20.32,20.440139925036487,0.12013992503648652
1993-04-01,20.25,21.18304820888759,0.9330482088875911
1993-05-01,19.95,20.02010823746556,0.07010823746556127
1993-06-01,19.09,18.8505003167677,-0.23949968323229953
1993-07-01,17.89,18.267813213897313,0.37781321389731204
1993-08-01,18.01,18.289616582606904,0.27961658260690214
1993-09-01,17.5,18.002919274372807,0.5029192743728075
1993-10-01,18.15,16.920328405624147,-1.2296715943758514
1993-11-01,16.61,15.429631205183151,-1.1803687948168484
1993-12-01,14.52,14.138512967474753,-0.3814870325252464
1994-01-01,15.03,15.139568392737624,0.10956839273762498
1994-02-01,14.78,14.480134550831353,-0.2998654491686459
1994-03-01,14.68,15.403720247347577,0.7237202473475772
1994-04-01,16.42,16.900456334787794,0.48045633478779237
1994-05-01,17.89,18.309575754846453,0.41957575484645204
1994-06-01,19.06,19.36971083026767,0.3097108302676723
1994-07-01,19.66,20.951677558356284,1.2916775583562838
1994-08-01,18.38,18.642615895191277,0.2626158951912778
1994-09-01,17.45,18.390095686739222,0.9400956867392232
1994-10-01,17.72,18.189785899410634,0.46978589941063476
1994-11-01,18.07,18.050494858504596,-0.019505141495404388
1994-12-01,17.16,18.04368734114339,0.8836873411433892
1995-01-01,18.04,18.38945433570745,0.3494543357074491
1995-02-01,18.57,18.615877987614258,0.045877987614257876
1995-03-01,18.54,19.16987360678619,0.629873606786191
1995-04-01,19.9,20.379664951166415,0.4796649511664164
1995-05-01,19.74,20.847345302163482,1.107345302163484
1995-06-01,18.45,17.40031840299974,-1.0496815970002586
1995-07-01,17.33,17.55966787915268,0.22966787915268227
1995-08-01,18.02,17.840406947890518,-0.17959305210948173
1995-09-01,18.23,17.539587921067277,-0.6904120789327237
1995-10-01,17.43,17.640337331618426,0.21033733161842605
1995-11-01,17.99,17.14801800931048,-0.8419819906895185
