"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"Nov 2011","78.491","76.630","79.875","76.595","530.53K","2.86%"
"Oct 2011","76.306","79.440","80.430","74.860","658.66K","-3.50%"
"Sep 2011","79.075","74.235","79.645","74.200","711.88K","6.61%"
"Ago 2011","74.173","74.130","75.645","73.515","634.35K","0.19%"
"Jul 2011","74.036","74.820","77.175","73.585","578.63K","-0.80%"
"Jun 2011","74.635","74.525","76.590","73.515","687.92K","-0.08%"
"May 2011","74.696","73.185","76.540","72.860","815.51K","2.17%"
"Abr 2011","73.107","76.300","76.870","73.015","467.91K","-3.90%"
"Mar 2011","76.072","76.855","77.550","75.590","595.87K","-1.10%"
"Feb 2011","76.921","77.760","78.980","76.780","407.93K","-1.21%"
"Ene 2011","77.865","79.310","81.635","77.665","494.63K","-1.79%"
"Dic 2010","79.288","81.335","81.435","79.025","412.78K","-2.44%"
"Nov 2010","81.271","77.105","81.525","75.235","576.63K","4.92%"
"Oct 2010","77.457","78.990","79.015","75.850","524.89K","-1.88%"
"Sep 2010","78.938","83.180","83.265","78.620","466.55K","-5.18%"
"Ago 2010","83.254","81.570","83.635","80.170","443.72K","1.96%"
"Jul 2010","81.655","86.450","86.545","81.565","414.56K","-5.36%"
"Jun 2010","86.281","86.725","88.800","85.360","448.83K","-0.45%"
"May 2010","86.670","82.050","87.625","81.870","707.64K","5.71%"
"Abr 2010","81.991","81.215","82.870","80.140","456.19K","0.86%"
"Mar 2010","81.291","80.535","82.520","79.650","551.28K","1.06%"
"Feb 2010","80.440","79.610","81.430","78.830","511.18K","0.99%"
"Ene 2010","79.650","78.355","79.680","76.740","369.13K","1.83%"
"Dic 2009","78.220","74.845","78.770","74.310","392.18K","4.38%"
"Nov 2009","74.935","76.475","77.500","74.210","345.60K","-2.01%"
"Oct 2009","76.475","76.870","77.720","75.085","264.57K","-0.50%"
"Sep 2009","76.860","78.170","79.010","76.045","184.61K","-1.74%"
"Ago 2009","78.220","78.160","79.695","77.520","140.29K","-0.29%"
"Jul 2009","78.450","80.385","81.165","78.310","122.71K","-2.46%"
"Jun 2009","80.425","79.305","81.795","78.375","169.49K","1.25%"
"May 2009","79.430","84.900","85.030","79.255","125.98K","-6.30%"
"Abr 2009","84.775","86.010","87.220","84.035","104.13K","-1.30%"
"Mar 2009","85.895","88.400","89.710","83.145","143.40K","-2.56%"
"Feb 2009","88.150","86.685","88.675","84.665","103.45K","1.95%"
"Ene 2009","86.460","82.195","87.405","81.990","80.85K","5.25%"
"Dic 2008","82.150","86.580","87.850","79.500","99.22K","-5.25%"
"Nov 2008","86.705","86.345","89.250","84.455","79.79K","0.42%"
"Oct 2008","86.345","79.180","88.495","79.045","142.52K","8.80%"
"Sep 2008","79.360","77.330","80.395","76.025","195.82K","2.40%"
"Ago 2008","77.500","73.425","77.710","73.365","141.47K","5.56%"
"Jul 2008","73.420","72.750","73.735","71.555","115.95K","0.85%"
"Jun 2008","72.800","72.950","74.320","72.170","129.35K","-0.21%"
"May 2008","72.950","72.750","74.065","71.915","130.90K","0.32%"
"Abr 2008","72.720","72.230","74.500","71.050","124.05K","0.77%"
"Mar 2008","72.165","73.650","74.000","70.805","139.77K","-2.15%"
"Feb 2008","73.750","75.350","77.195","73.630","74.48K","-2.04%"
"Ene 2008","75.285","76.740","77.500","74.660","69.47K","-1.84%"
"Dic 2007","76.700","76.100","77.860","75.615","51.55K","0.70%"
"Nov 2007","76.170","76.570","76.820","74.760","56.40K","-0.38%"
"Oct 2007","76.460","77.670","78.800","76.430","55.74K","-1.50%"
"Sep 2007","77.625","80.755","81.100","77.580","86.47K","-3.86%"
"Ago 2007","80.745","80.770","82.000","79.855","82.49K","0.11%"
"Jul 2007","80.660","81.655","81.680","79.870","85.25K","-1.26%"
"Jun 2007","81.690","82.230","83.260","81.660","81.00K","-0.68%"
"May 2007","82.250","81.250","82.500","81.100","46.04K","1.17%"
"Abr 2007","81.300","82.640","82.970","81.100","44.40K","-1.65%"
"Mar 2007","82.660","83.530","84.360","82.380","64.61K","-1.01%"
"Feb 2007","83.500","84.480","85.090","83.320","67.22K","-1.10%"
"Ene 2007","84.430","83.190","85.250","82.900","56.48K","1.20%"
"Dic 2006","83.430","82.810","84.190","82.180","65.07K","0.70%"
"Nov 2006","82.850","85.070","85.770","82.700","61.42K","-2.66%"
"Oct 2006","85.110","85.720","87.080","84.980","80.30K","-0.67%"
"Sep 2006","85.680","84.990","86.140","84.560","74.68K","0.78%"
"Ago 2006","85.020","85.090","85.550","84.170","47.59K","-0.08%"
"Jul 2006","85.090","84.830","87.050","84.420","72.81K","0.22%"
"Jun 2006","84.900","84.630","86.680","83.660","99.88K","0.30%"
"May 2006","84.650","85.690","86.100","83.410","84.03K","-1.43%"
"Abr 2006","85.880","89.390","90.030","85.770","87.46K","-3.93%"
"Mar 2006","89.390","90.020","91.180","88.450","125.30K","-0.77%"
"Feb 2006","90.080","88.830","90.940","88.750","94.66K","1.43%"
"Ene 2006","88.810","90.490","90.680","87.690","73.43K","-2.36%"
"Dic 2005","90.960","91.500","92.330","89.490","103.29K","-0.60%"
"Nov 2005","91.510","89.940","92.530","89.450","109.35K","1.76%"
"Oct 2005","89.930","89.270","90.550","88.350","108.21K","0.65%"
"Sep 2005","89.350","87.510","89.600","85.970","86.30K","2.07%"
"Ago 2005","87.540","89.260","89.350","86.690","93.60K","-1.89%"
"Jul 2005","89.230","89.010","90.660","88.150","57.20K","0.28%"
"Jun 2005","88.980","87.730","89.350","87.120","72.07K","1.34%"
"May 2005","87.800","84.470","87.800","83.720","71.77K","4.00%"
"Abr 2005","84.420","84.100","85.310","83.310","60.14K","0.44%"
"Mar 2005","84.050","82.680","84.750","81.270","63.82K","1.87%"
"Feb 2005","82.510","83.570","85.460","82.280","54.02K","-1.35%"
"Ene 2005","83.640","81.110","84.140","81.110","59.05K","3.26%"
"Dic 2004","81.000","81.870","83.060","80.480","70.17K","-1.00%"
"Nov 2004","81.820","84.760","85.680","81.600","50.16K","-3.72%"
"Oct 2004","84.980","87.520","88.790","84.850","47.93K","-2.89%"
"Sep 2004","87.510","89.000","89.800","87.490","41.38K","-1.63%"
"Ago 2004","88.960","89.980","90.340","87.730","37.00K","-1.28%"
"Jul 2004","90.110","89.070","90.490","87.200","56.84K","1.25%"
"Jun 2004","89.000","88.680","90.770","88.060","47.90K","0.02%"
"May 2004","88.980","90.810","92.500","88.590","59.18K","-1.87%"
"Abr 2004","90.680","87.900","91.790","87.300","50.79K","3.10%"
"Mar 2004","87.950","87.110","89.950","87.110","59.96K","0.61%"
"Feb 2004","87.420","87.340","88.130","84.770","52.09K","0.00%"
"Ene 2004","87.420","87.070","88.170","85.100","49.34K","0.18%"
"Dic 2003","87.260","90.150","90.600","86.700","44.66K","-3.35%"
"Nov 2003","90.280","92.860","94.320","90.130","48.76K","-2.80%"
"Oct 2003","92.880","93.110","93.620","91.230","39.62K","-0.34%"
"Sep 2003","93.200","98.200","99.400","92.430","44.38K","-4.99%"
"Ago 2003","98.100","97.030","99.570","95.670","19.51K","0.99%"
"Jul 2003","97.140","94.860","97.800","94.300","37.08K","2.13%"
"Jun 2003","95.110","93.810","95.700","92.200","48.34K","1.93%"
"May 2003","93.310","97.350","97.430","92.350","28.04K","-4.18%"
"Abr 2003","97.380","99.340","102.190","97.320","30.96K","-2.12%"
"Mar 2003","99.490","99.750","102.680","97.620","43.89K","-0.32%"
"Feb 2003","99.810","100.460","101.100","98.870","24.95K","-0.33%"
"Ene 2003","100.140","102.710","103.670","99.050","22.96K","-2.07%"
"Dic 2002","102.260","106.590","107.380","102.260","38.70K","-3.98%"
"Nov 2002","106.500","106.710","107.100","104.360","28.59K","-0.30%"
"Oct 2002","106.820","107.100","108.950","106.710","32.86K","-0.41%"
"Sep 2002","107.260","106.460","109.750","105.530","21.42K","0.36%"
"Ago 2002","106.870","107.810","109.250","106.320","14.10K","-0.77%"
"Jul 2002","107.700","106.220","108.330","104.120","20.68K","1.08%"
"Jun 2002","106.550","111.980","112.000","105.970","27.14K","-4.79%"
"May 2002","111.910","115.340","115.470","110.950","28.94K","-3.02%"
"Abr 2002","115.400","118.930","118.950","114.930","37.50K","-3.07%"
"Mar 2002","119.060","119.350","119.700","116.800","23.90K","-0.18%"
"Feb 2002","119.280","120.450","120.550","118.260","25.90K","-1.09%"
"Ene 2002","120.590","116.810","120.800","116.000","20.09K","2.88%"
"Dic 2001","117.210","115.630","118.850","114.800","25.60K","1.44%"
"Nov 2001","115.550","114.900","117.980","113.920","34.94K","0.35%"
"Oct 2001","115.150","114.010","116.600","112.620","17.64K","1.04%"
"Sep 2001","113.960","114.310","116.140","111.350","11.03K","0.37%"
"Ago 2001","113.540","117.250","117.250","112.470","21.49K","-3.28%"
"Jul 2001","117.390","119.700","121.290","116.580","38.33K","-1.97%"
"Jun 2001","119.750","119.140","120.370","117.500","20.90K","0.47%"
"May 2001","119.190","115.820","119.330","114.380","22.59K","2.79%"
"Abr 2001","115.950","117.770","117.890","114.010","21.57K","-1.43%"
"Mar 2001","117.630","112.010","117.780","110.810","20.45K","5.03%"
"Feb 2001","112.000","110.300","113.650","109.400","14.63K","1.33%"
"Ene 2001","110.530","109.110","112.600","108.040","20.13K","1.14%"
"Dic 2000","109.280","115.160","115.430","109.270","14.79K","-5.06%"
