iter	RMSE
144	2.989950127
145	2.976859396
146	2.958043759
147	2.94552417
148	2.934886071
149	2.92067799
150	2.902962485
151	2.889907148
152	2.877622252
153	2.865179084
154	2.854196842
155	2.842905746
156	2.828559867
157	2.815031421
158	2.802396306
159	2.789951493
160	2.779944908
161	2.771226101
162	2.7595597
163	2.750118807
164	2.743431369
165	2.732700211
166	2.726086272
167	2.717427248
168	2.708395397
169	2.70191343
170	2.693943392
171	2.685297237
172	2.676420426
173	2.671032205
174	2.661648831
175	2.656479778
176	2.647837251
177	2.634986902
178	2.627197918
179	2.622740672
180	2.617518084
181	2.606643414
182	2.599714435
183	2.589965347
184	2.581991096
185	2.575801907
186	2.57079489
187	2.566000708
188	2.561346215
189	2.554502992
190	2.547508705
191	2.543597962
192	2.536836495
193	2.533207269
194	2.530148536
195	2.526498176
196	2.522465403
197	2.519362802
198	2.515554332
199	2.512005308
200	2.504079602
201	2.500775621
202	2.495133116
203	2.489386627
204	2.483658129
205	2.477124729
206	2.469577616
207	2.462606607
208	2.456754344
209	2.453007638
210	2.44578004
211	2.439905562
212	2.431745193
213	2.4282425
214	2.422321887
215	2.418638355
216	2.41582271
217	2.41355416
218	2.411184279
219	2.408911928
220	2.405647402
221	2.4002663
222	2.396033052
223	2.392622109
224	2.389420577
225	2.386816797
226	2.380275089
227	2.377830423
228	2.375811827
229	2.373051589
230	2.368376494
231	2.365996597
232	2.361508179
233	2.357344939
234	2.355438162
235	2.352035338
236	2.346841227
237	2.340029522
238	2.337989111
239	2.33282878
240	2.329567976
241	2.327908726
242	2.324745689
243	2.320883964
244	2.318739753
245	2.314776594
246	2.313183375
247	2.309372418
248	2.30269518
249	2.300431672
250	2.298711791
251	2.296017168
252	2.294234142
253	2.290669563
254	2.28212177
255	2.28025564
256	2.278464323
257	2.276657775
258	2.274775182
259	2.273612742
260	2.27199518
261	2.268685314
262	2.263511906
263	2.261993567
264	2.259126533
265	2.25741455
266	2.256133204
267	2.254531504
268	2.253162494
269	2.251489736
270	2.249656804
271	2.248369371
272	2.246939072
273	2.244464292
274	2.238697619
275	2.236655448
276	2.235196162
277	2.233809845
278	2.23266913
279	2.229765231
280	2.228430859
281	2.227486565
282	2.220999881
283	2.219135419
284	2.217749432
285	2.21490722
286	2.210765098
287	2.209377584
288	2.206622412
289	2.204914969
290	2.200759211
291	2.194420543
292	2.19209047
293	2.190969615
294	2.186317796
295	2.184418637
296	2.180305464
297	2.177102066
298	2.176106795
299	2.170001784
300	2.169247034
301	2.164780144
302	2.163838457
303	2.159519301
304	2.15366705
305	2.152196813
306	2.147191533
307	2.144742994
308	2.143756099
309	2.139348
310	2.137738355
311	2.134456549
312	2.133588234
313	2.129762892
314	2.129132257
315	2.128341707
316	2.12520522
317	2.124499981
318	2.122342585
319	2.121278374
320	2.1161072
321	2.110578306
322	2.109803822
323	2.10814438
324	2.107242577
325	2.102392904
326	2.101170401
327	2.099212616
328	2.098359043
329	2.097725475
330	2.092530566
331	2.09186281
332	2.091005733
333	2.085101452
334	2.082822389
335	2.080348621
336	2.078005393
337	2.077451308
338	2.074229588
339	2.071942624
340	2.070967293
341	2.070290673
342	2.069742665
343	2.064960641
344	2.064481365
345	2.062318719
346	2.061829286
347	2.059242057
348	2.056014231
349	2.053049047
350	2.051013197
351	2.048051858
352	2.047576886
353	2.044870557
354	2.041636397
355	2.041186358
356	2.037526373
357	2.036829842
358	2.034869644
359	2.034441441
360	2.030776812
361	2.030305852
362	2.029786442
363	2.02772515
364	2.02719616
365	2.022557095
366	2.01878397
367	2.018016639
368	2.017057523
369	2.012620311
370	2.009232457
371	2.008656762
372	2.004664774
373	2.004384243
374	2.003975499
375	2.000145988
376	1.996303535
377	1.993192538
378	1.99281931
379	1.988661065
380	1.988295631
381	1.988030854
382	1.984096362
383	1.983761735
384	1.983268027
385	1.979624117
386	1.979324736
387	1.975178305
388	1.974859432
389	1.974620834
390	1.971136129
391	1.970590794
392	1.970291255
393	1.966110879
394	1.962543854
395	1.958892129
396	1.954511936
397	1.951110989
398	1.947155357
399	1.94687144
400	1.94385502
401	1.94160212
402	1.938481181
403	1.935464357
404	1.933989018
405	1.933180897
406	1.928945734
407	1.928668883
408	1.924785979
409	1.922993339
410	1.922161654
411	1.919961554
412	1.919666132
413	1.919372617
414	1.917111995
415	1.915833118
416	1.912514363
417	1.912284765
418	1.911506524
419	1.908151176
420	1.904893091
421	1.90086747
422	1.899275255
423	1.896133827
424	1.892183967
425	1.888386151
426	1.888155359
427	1.88786709
428	1.884568108
429	1.878584154
430	1.878112384
431	1.877611058
432	1.874093401
433	1.873403407
434	1.870338801
435	1.867390385
436	1.864363198
437	1.861678031
438	1.860514463
439	1.856332212
440	1.853344802
441	1.850334035
442	1.849809551
443	1.846331951
444	1.843114388
445	1.839119002
446	1.835660904
447	1.835426592
448	1.832325277
449	1.828314933
450	1.82544373
451	1.822290673
452	1.818493178
453	1.818261229
454	1.816883384
455	1.816708587
456	1.814033985
457	1.813537354
458	1.812198645
459	1.808569694
460	1.803573942
461	1.799939384
462	1.799721654
463	1.796554511
464	1.793276955
465	1.789761643
466	1.787111738
467	1.784663096
468	1.782904211
469	1.779920577
470	1.777105517
471	1.773270635
472	1.770484605
473	1.767670516
474	1.762796315
475	1.760877138
476	1.757997911
477	1.757699736
478	1.752844639
479	1.747175779
480	1.74352697
481	1.741604767
482	1.738532266
483	1.735436489
484	1.73320827
485	1.729065124
486	1.725353409
487	1.720553248
488	1.717212946
489	1.713946705
490	1.712338467
491	1.710918222
492	1.708902565
493	1.706173002
494	1.703178634
495	1.703060396
496	1.701241651
497	1.698427823
498	1.698215823
499	1.695774861
500	1.693419619
501	1.690396293
502	1.689992298
503	1.688520511
504	1.685661053
505	1.682632653
506	1.682071185
507	1.681637503
508	1.678646128
509	1.676822675
510	1.674560657
511	1.671577295
512	1.669592026
513	1.66724734
514	1.664411017
515	1.663364697
516	1.658018739
517	1.654984788
518	1.652347562
519	1.648163747
520	1.645062601
521	1.642503991
522	1.642120308
523	1.641753645
524	1.637707387
525	1.63520452
526	1.633133793
527	1.629874428
528	1.628402832
529	1.622538424
530	1.620292328
531	1.616355652
532	1.613955511
533	1.611554597
534	1.611266826
535	1.608056618
536	1.607535503
537	1.606581493
538	1.60293832
539	1.600203824
540	1.597248724
541	1.596156016
542	1.595899424
543	1.593722403
544	1.591079538
545	1.587267036
546	1.584502511
547	1.582612581
548	1.581102889
549	1.577918648
550	1.576062342
551	1.573221418
552	1.572014573
553	1.571030047
554	1.568263437
555	1.567289862
556	1.564616213
557	1.562000631
558	1.561802783
559	1.56045666
560	1.558213309
561	1.554497575
562	1.552798252
563	1.550364105
564	1.547833174
565	1.546348631
566	1.542190775
567	1.53845518
568	1.535909194
569	1.532395377
570	1.532263735
571	1.529232032
572	1.527554892
573	1.525708997
574	1.52160186
575	1.519808266
576	1.517317902
577	1.516820268
578	1.515069691
579	1.511406358
580	1.509230322
581	1.507553868
582	1.505292169
583	1.50286001
584	1.501325568
585	1.49773327
586	1.49475337
587	1.491858081
588	1.490007916
589	1.489049367
590	1.487763149
591	1.487480782
592	1.484359886
593	1.479873803
594	1.47625703
595	1.474166911
596	1.47013589
597	1.467859938
598	1.464051337
599	1.46312101
600	1.46107163
601	1.460071623
602	1.456507974
603	1.454366352
604	1.452363889
605	1.452058558
606	1.449410297
607	1.448786927
608	1.447405428
609	1.446954462
610	1.444787498
611	1.442564085
612	1.441315849
613	1.438476643
614	1.436850467
615	1.436074394
616	1.432361509
617	1.431954674
618	1.428542375
619	1.426250837
620	1.423392317
621	1.419118331
622	1.419009181
623	1.416907835
624	1.413254511
625	1.410630882
626	1.407136813
627	1.406337687
628	1.404739937
629	1.404309575
630	1.403865954
631	1.401232778
632	1.400444919
633	1.400019269
634	1.397823283
635	1.395090206
636	1.391927342
637	1.390565253
638	1.390053987
639	1.387828561
640	1.385398822
641	1.384998809
642	1.382874613
643	1.379893103
644	1.378780296
645	1.376717161
646	1.375220887
647	1.373738114
648	1.373304603
649	1.370299173
650	1.367580456
651	1.366476423
652	1.364858711
653	1.364534684
654	1.361274059
655	1.359725003
656	1.356857165
657	1.355573355
658	1.353301766
659	1.352583863
660	1.350154624
661	1.348469519
662	1.346971212
663	1.344697531
664	1.342245134
665	1.339691439
666	1.338380759
667	1.336202911
668	1.333985298
669	1.331679861
670	1.329074687
671	1.326422679
672	1.324501103
673	1.322227828
674	1.319942748
675	1.318193763
676	1.317151422
677	1.316142485
678	1.315079561
679	1.313194862
680	1.311555447
681	1.309147521
682	1.306802287
683	1.30655173
684	1.304307866
685	1.301800303
686	1.299139738
687	1.297951705
688	1.295335558
689	1.294024689
690	1.292378432
691	1.291804747
692	1.290577746
693	1.288420929
694	1.286771582
695	1.282690254
696	1.280250878
697	1.278314863
698	1.276626014
699	1.274052121
700	1.273648515
701	1.271095819
702	1.26966926
703	1.267811711
704	1.263999921
705	1.262080886
706	1.260158703
707	1.258874656
708	1.257035798
709	1.256370055
710	1.255107764
711	1.254007387
712	1.250742994
713	1.24873841
714	1.248248703
715	1.24653466
716	1.243967606
717	1.24165631
718	1.239798298
719	1.239341751
720	1.238027235
721	1.237066206
722	1.235841144
723	1.235431919
724	1.235091303
725	1.233945331
726	1.232924691
727	1.231550454
728	1.22880747
729	1.227819977
730	1.225855015
731	1.224712304
732	1.222462269
733	1.220868751
734	1.219648174
735	1.218362965
736	1.215859896
737	1.214321592
738	1.213180245
739	1.212330959
740	1.210231353
741	1.209431506
742	1.207691551
743	1.206334232
744	1.204435134
745	1.20216865
746	1.201359651
747	1.199525619
748	1.196162517
749	1.195452788
750	1.194824766
751	1.193896291
752	1.193024296
753	1.190776648
754	1.188984169
755	1.18720256
756	1.184792198
757	1.181750299
758	1.180674796
759	1.177742565
760	1.176513923
761	1.174001054
762	1.172977849
763	1.171584052
764	1.168970605
765	1.167292029
766	1.164674327
767	1.164079025
768	1.163771808
769	1.16320303
770	1.1606616
771	1.15804516
772	1.155660797
773	1.15363966
774	1.151742451
775	1.149821912
776	1.147764695
777	1.146141645
778	1.14370192
779	1.142608651
780	1.140791617
781	1.138551012
782	1.136733405
783	1.134772077
784	1.132979054
785	1.132805039
786	1.130434548
787	1.129097731
788	1.128186484
789	1.12660931
790	1.124286723
791	1.121407133
792	1.120100641
793	1.118431677
794	1.117562521
795	1.115989576
796	1.114657569
797	1.112914825
798	1.111495703
799	1.110397918
800	1.10817529
801	1.107983434
802	1.105689632
803	1.104611275
804	1.102387947
805	1.100861751
806	1.100032679
807	1.099107229
808	1.098755498
809	1.098060503
810	1.0970988
811	1.094970985
812	1.092802782
813	1.08981911
814	1.087620111
815	1.085833648
816	1.083998141
817	1.081856329
818	1.081008374
819	1.080008705
820	1.078590185
821	1.077624127
822	1.076788368
823	1.075371385
824	1.074343673
825	1.073391383
826	1.071995845
827	1.070261287
828	1.069137471
829	1.067229852
830	1.065826561
831	1.064818681
832	1.063184589
833	1.060666903
834	1.058999044
835	1.058772684
836	1.05701109
837	1.056183307
838	1.054647488
839	1.052490986
840	1.050482283
841	1.048937529
842	1.047617567
843	1.044881239
844	1.044023755
845	1.041311489
846	1.04048943
847	1.039682873
848	1.038071652
849	1.036398909
850	1.035026739
851	1.033326906
852	1.032206848
853	1.030823484
854	1.029033597
855	1.028260131
856	1.026422794
857	1.025832912
858	1.025160105
859	1.024056671
860	1.023642437
861	1.02257041
862	1.02143169
863	1.020878956
864	1.019640394
865	1.017945423
866	1.016693729
867	1.015766721
868	1.01497863
869	1.013317756
870	1.012482012
871	1.011709216
872	1.011010681
873	1.009659011
874	1.007714618
875	1.006596311
876	1.005580942
877	1.003611301
878	1.002562162
879	1.001461393
880	1.000342071
881	0.9982983521
882	0.9969184219
883	0.9949865568
884	0.9945748107
885	0.9940522123
886	0.9938001577
887	0.9924780225
888	0.991688259
889	0.9906731502
890	0.9880818734
891	0.9862612998
892	0.9842203857
893	0.9835105875
894	0.9830894429
895	0.9816092869
896	0.9808828594
897	0.9806093882
898	0.9792860523
899	0.9778985793
900	0.9761653918
901	0.9751682321
902	0.9739975854
903	0.9733011804
904	0.9723827777
905	0.9716382154
906	0.9704553322
907	0.9703658384
908	0.9688069434
909	0.9679146482
910	0.9665294409
911	0.9652972582
912	0.9652082472
913	0.9630501642
914	0.9622117757
915	0.9610907374
916	0.9604562076
917	0.9595147712
918	0.9592547278
919	0.9588219903
920	0.9575341533
921	0.9566671733
922	0.9557593217
923	0.9548530823
924	0.9537961571
925	0.9535584164
926	0.9533256436
927	0.9530749511
928	0.9519986358
929	0.9516916934
930	0.9515241049
931	0.9510948569
932	0.9501864127
933	0.949453575
934	0.947985112
935	0.9477578076
936	0.946351518
937	0.9459581191
938	0.944802126
939	0.943205735
940	0.942323352
941	0.9420899675
942	0.9412454253
943	0.9408392731
944	0.9394883364
945	0.9388705816
946	0.938529872
947	0.9371478722
948	0.9361150755
949	0.9348214744
950	0.9338037465
951	0.9324583431
952	0.9311650616
953	0.9297801895
954	0.928699138
955	0.9273588233
956	0.9264903243
957	0.9253418856
958	0.9246560049
959	0.9233798756
960	0.9223294831
961	0.9220973896
962	0.9213289699
963	0.9201238739
964	0.9191926976
965	0.9183096892
966	0.9170190271
967	0.9160038327
968	0.915409623
969	0.9142193549
970	0.9124691174
971	0.9122642038
972	0.9106891397
973	0.9097467885
974	0.9094953319
975	0.9082253399
976	0.9072410246
977	0.9070147909
978	0.9065621881
979	0.9055560143
980	0.9054780464
981	0.9052864459
982	0.9043295096
983	0.9035972008
984	0.9028055171
985	0.9017676458
986	0.9007180155
987	0.8992857511
988	0.8987315518
989	0.8973647875
990	0.897182353
991	0.8962719563
992	0.8959392549
993	0.8951332188
994	0.8946512305
995	0.8936335874
996	0.8918949171
997	0.8910618541
998	0.8895747303
999	0.8889691056
