iter	RMSE
0	29.33677976
1	28.61984103
2	27.9542208
3	27.24995575
4	26.61798882
5	25.95560829
6	25.31336086
7	24.66378519
8	24.08101786
9	23.48305055
10	22.91591511
11	22.34930318
12	21.82632995
13	21.28281175
14	20.7538894
15	20.24535998
16	19.75959835
17	19.27059832
18	18.82713481
19	18.36096854
20	17.91265747
21	17.49250699
22	17.07782625
23	16.67689775
24	16.28755262
25	15.9125865
26	15.53233775
27	15.18239626
28	14.85507584
29	14.49594341
30	14.15570886
31	13.82343725
32	13.53921365
33	13.23861322
34	12.92319868
35	12.62558194
36	12.37037401
37	12.09528953
38	11.81618379
39	11.55648443
40	11.30233552
41	11.06771213
42	10.80894694
43	10.58991107
44	10.35624744
45	10.14460397
46	9.931483944
47	9.724608029
48	9.520401288
49	9.326525513
50	9.138855164
51	8.950304934
52	8.762272742
53	8.583358868
54	8.41473886
55	8.253851112
56	8.094673413
57	7.928578004
58	7.792173634
59	7.651991862
60	7.522540153
61	7.397498784
62	7.265830809
63	7.142089585
64	7.027379194
65	6.895975893
66	6.806964624
67	6.695178055
68	6.59042796
69	6.470816752
70	6.361317823
71	6.268253918
72	6.159198792
73	6.054370784
74	5.963478067
75	5.881250239
76	5.786010037
77	5.691281144
78	5.599203816
79	5.529176358
80	5.44237933
81	5.365103624
82	5.279860042
83	5.210860204
84	5.141337961
85	5.067722822
86	5.006006129
87	4.942178542
88	4.870785539
89	4.801376614
90	4.736935636
91	4.682155931
92	4.627952594
93	4.568703027
94	4.505754512
95	4.448042563
96	4.38699448
97	4.334895539
98	4.284871167
99	4.245488857
100	4.200371602
101	4.151739437
102	4.112560822
103	4.065627858
104	4.02542153
105	3.982370847
106	3.948284645
107	3.909375202
108	3.869054305
109	3.832235331
110	3.792884729
111	3.754477576
112	3.725721534
113	3.690467605
114	3.655568581
115	3.621974447
116	3.590637754
117	3.56091038
118	3.532185078
119	3.504809412
120	3.47607553
121	3.449607469
122	3.423370677
123	3.398400415
124	3.374361374
125	3.353714238
126	3.330692379
127	3.305562873
128	3.283934271
129	3.264713115
130	3.240422348
131	3.221906539
132	3.2034268
133	3.18531111
134	3.16161694
135	3.141062408
136	3.120587652
137	3.102694373
138	3.085853546
139	3.069389986
140	3.050853283
141	3.033795116
142	3.015301234
143	3.000180593
